Jacksonville,AR,34.8807,-92.1304
Paragould,AR,36.0555,-90.5149
Russellville,AR,35.2762,-93.1383
Cabot,AR,34.9766,-92.0274
West Memphis,AR,35.153,-90.1996
Van Buren,AR,35.4483,-94.3528
Searcy,AR,35.2418,-91.7351
Bryant,AR,34.6152,-92.4914
Maumelle,AR,34.8522,-92.4
El Dorado,AR,33.2184,-92.664
Centerton,AR,36.3566,-94.2971
Siloam Springs,AR,36.1844,-94.5315
Hot Springs Village,AR,34.6566,-92.9643
Marion,AR,35.2035,-90.2059
Blytheville,AR,35.9321,-89.9051
Forrest City,AR,35.0135,-90.7931
Harrison,AR,36.2438,-93.1198
Mountain Home,AR,36.3351,-92.384
Magnolia,AR,33.2775,-93.2261
Batesville,AR,35.7687,-91.6227
Camden,AR,33.5672,-92.8467
Malvern,AR,34.3734,-92.8205
Arkadelphia,AR,34.1253,-93.0729
Helena-West Helena,AR,34.5313,-90.6201
Lowell,AR,36.2561,-94.1532
Greenwood,AR,35.2134,-94.2408
Clarksville,AR,35.457,-93.4803
Hope,AR,33.6682,-93.5895
Monticello,AR,33.6257,-91.7934
Stuttgart,AR,34.4952,-91.5487
Wynne,AR,35.2322,-90.7897
Beebe,AR,35.0713,-91.8998
Newport,AR,35.6234,-91.2322
Farmington,AR,36.037,-94.2537
Trumann,AR,35.677,-90.5259
Pocahontas,AR,36.2635,-90.9706
Osceola,AR,35.6942,-89.9934
Heber Springs,AR,35.4995,-92.0292
Morrilton,AR,35.1558,-92.7387
Prairie Grove,AR,35.9858,-94.3049
Pea Ridge,AR,36.4495,-94.1218
East End,AR,34.5554,-92.3261
De Queen,AR,34.0426,-94.342
Ward,AR,35.0117,-91.9577
Alma,AR,35.4919,-94.2165
Greenbrier,AR,35.2289,-92.3836
Mena,AR,34.5812,-94.2369
Berryville,AR,36.371,-93.5704
White Hall,AR,34.2741,-92.1006
Warren,AR,33.6113,-92.0678
Walnut Ridge,AR,36.0848,-90.9467
Cave Springs,AR,36.2701,-94.2227
Cherokee Village,AR,36.2959,-91.5696
Sheridan,AR,34.2996,-92.4223
Crossett,AR,33.128,-91.9631
Barling,AR,35.3284,-94.2791
Piney,AR,34.5024,-93.142
Tontitown,AR,36.1642,-94.2457
Dardanelle,AR,35.2263,-93.1649
Shannon Hills,AR,34.6157,-92.4217
Vilonia,AR,35.0807,-92.2088
Rockwell,AR,34.4636,-93.134
Ashdown,AR,33.6746,-94.1265
Southside,AR,35.7149,-91.6328
Nashville,AR,33.9418,-93.8516
Lonoke,AR,34.7906,-91.9072
Dumas,AR,33.8834,-91.4857
Haskell,AR,34.5095,-92.6406
McGehee,AR,33.6278,-91.3953
Brookland,AR,35.8991,-90.5767
Gibson,AR,34.8923,-92.2341
Booneville,AR,35.1392,-93.9178
Gentry,AR,36.2571,-94.4908
Marianna,AR,34.7736,-90.7674
Manila,AR,35.8847,-90.1652
Piggott,AR,36.3858,-90.2016
Johnson,AR,36.1328,-94.1757
Elkins,AR,36.0173,-94.0252
Ozark,AR,35.4991,-93.8438
Fordyce,AR,33.8182,-92.4174
Gravette,AR,36.4291,-94.3712
Austin,AR,35.0058,-91.9895
Landmark,AR,34.6076,-92.3186
Alexander,AR,34.6185,-92.4512
Waldron,AR,34.9022,-94.0953
Paris,AR,35.2894,-93.7252
Corning,AR,36.4134,-90.5839
West Fork,AR,35.9355,-94.18
Pottsville,AR,35.2312,-93.0654
Prescott,AR,33.8056,-93.3909
DeWitt,AR,34.2874,-91.3383
Green Forest,AR,36.3347,-93.431
Little Flock,AR,36.3853,-94.1363
Gosnell,AR,35.9644,-89.9721
Elm Springs,AR,36.2068,-94.2382
Atkins,AR,35.2414,-92.9465
Mountain View,AR,35.8635,-92.1041
Huntsville,AR,36.0985,-93.7363
North Crossett,AR,33.1707,-91.9367
Brinkley,AR,34.89,-91.1902
Harrisburg,AR,35.5637,-90.7216
Hamburg,AR,33.2248,-91.7972
Hoxie,AR,36.036,-90.9736
Dermott,AR,33.5271,-91.4323
Charleston,AR,35.2948,-94.0484
Holiday Island,AR,36.4762,-93.7343
Bald Knob,AR,35.3123,-91.5709
Clinton,AR,35.5798,-92.4543
England,AR,34.5454,-91.9675
Goshen,AR,36.1044,-94.0033
