lat	lon	ele
43.113216	0.056663	429
43.113258	0.056705	429
43.113296	0.05674	430
43.113338	0.056783	430
43.113388	0.05683	431
43.113445	0.056893	431
43.113483	0.056958	432
43.113541	0.057027	432
43.11359	0.057107	432
43.113632	0.057175	433
43.11367	0.057237	433
43.11372	0.057307	434
43.113769	0.057375	434
43.113811	0.057453	435
43.113842	0.057533	435
43.113884	0.057595	436
43.113933	0.057653	436
43.113979	0.057707	437
43.114029	0.057767	437
43.114086	0.057827	438
43.114136	0.057892	438
43.114193	0.05795	438
43.114243	0.058007	438
43.114292	0.058067	439
43.114338	0.058122	439
43.114387	0.058172	440
43.114437	0.05823	441
43.114479	0.058298	441
43.114525	0.058352	442
43.114567	0.058412	442
43.114609	0.058472	443
43.114647	0.058538	443
43.114681	0.058603	443
43.114723	0.058665	444
43.114769	0.058722	444
43.114811	0.058782	444
43.114853	0.058835	445
43.114891	0.058893	445
43.114925	0.058947	446
43.114967	0.058987	446
43.115013	0.059033	447
43.115063	0.059085	448
43.115112	0.059137	448
43.115154	0.059193	449
43.1152	0.059252	449
43.11525	0.059308	450
43.115276	0.059365	450
43.115292	0.059435	451
43.115307	0.059512	451
43.115322	0.059593	451
43.115349	0.059672	452
43.115372	0.059748	452
43.115398	0.059828	453
43.115429	0.059917	453
43.115463	0.06	454
43.115494	0.060075	454
43.115536	0.060147	454
43.115566	0.060217	455
43.115608	0.06028	455
43.11565	0.060343	456
43.115681	0.060397	456
43.11573	0.060452	457
43.115772	0.060502	457
43.11581	0.060553	457
43.115845	0.060613	458
43.115868	0.060672	458
43.115879	0.060735	459
43.115887	0.060807	459
43.115879	0.060887	460
43.11586	0.060965	461
43.115852	0.061042	461
43.115852	0.061115	462
43.115852	0.06119	462
43.115852	0.061255	463
43.115852	0.061347	463
43.11586	0.061438	463
43.115879	0.061525	463
43.115894	0.061612	464
43.115917	0.061698	464
43.115952	0.061773	465
43.11599	0.061817	465
43.116032	0.061875	466
43.116081	0.061943	466
43.116112	0.062018	467
43.116161	0.062087	467
43.116196	0.062153	468
43.116234	0.062228	469
43.11626	0.062302	469
43.116276	0.062373	469
43.116283	0.06246	469
43.116276	0.06255	470
43.116276	0.06265	470
43.116268	0.062742	471
43.11626	0.062823	471
43.116268	0.062902	472
43.116268	0.06298	473
43.116268	0.063057	473
43.116268	0.063133	474
43.11626	0.063208	474
43.116253	0.063282	475
43.116234	0.06335	475
43.116226	0.063437	475
43.116211	0.063512	475
43.116203	0.063578	476
43.116188	0.063653	476
43.116177	0.063738	477
43.116169	0.06382	478
43.116154	0.063907	478
43.116146	0.06399	479
43.116138	0.064087	479
43.116131	0.064187	480
43.116112	0.064283	480
43.116104	0.064368	481
43.116089	0.06444	481
43.116081	0.064503	481
43.116081	0.064573	482
43.116081	0.064645	482
43.116089	0.064717	482
43.116096	0.064815	483
43.116104	0.064908	483
43.116131	0.064992	484
43.116146	0.065075	484
43.116169	0.065145	485
43.116196	0.065225	486
43.116211	0.065307	486
43.116234	0.065385	487
43.116253	0.065475	487
43.116268	0.065552	487
43.116276	0.065613	488
43.116291	0.065682	488
43.116299	0.065778	489
43.116318	0.065865	489
43.116333	0.065957	490
43.116348	0.066045	490
43.116367	0.066133	490
43.116383	0.06621	491
43.116398	0.066295	491
43.116413	0.066373	492
43.116432	0.066458	492
43.116447	0.06654	493
43.116463	0.066623	493
43.11647	0.066702	494
43.116489	0.066777	494
43.116497	0.066847	494
43.116512	0.066927	494
43.116528	0.067005	495
43.116543	0.067088	495
43.116554	0.067172	496
43.116562	0.067262	496
43.11657	0.067348	497
43.11657	0.067425	497
43.116577	0.067512	498
43.116585	0.067597	498
43.116592	0.067678	499
43.1166	0.067755	500
43.116611	0.06783	500
43.116627	0.067905	500
43.116642	0.067978	500
43.116657	0.068055	501
43.116665	0.068133	501
43.116684	0.068212	502
43.116692	0.068285	502
43.116707	0.068358	503
43.116722	0.068425	503
43.116734	0.068495	504
43.116741	0.068555	504
43.116749	0.06862	505
43.116764	0.068685	505
43.116779	0.068753	506
43.116798	0.068827	506
43.116821	0.0689	506
43.116844	0.068972	506
43.116871	0.069042	507
43.116901	0.069117	507
43.116943	0.069185	508
43.116985	0.06925	508
43.117031	0.069315	508
43.117088	0.069395	509
43.117153	0.069485	509
43.117222	0.069577	509
43.117294	0.069667	509
43.117374	0.069755	509
43.117454	0.069837	509
43.117554	0.069927	509
43.117641	0.070025	508
43.117733	0.07013	508
43.117813	0.070248	507
43.117886	0.070387	507
43.117954	0.070535	506
43.117992	0.070708	506
43.118019	0.070892	506
43.118034	0.071078	506
43.11805	0.071265	505
43.118057	0.07145	504
43.118084	0.071633	504
43.118107	0.071818	503
43.11813	0.072002	503
43.118156	0.072198	502
43.118172	0.07241	501
43.118187	0.072622	501
43.118221	0.072827	500
43.118252	0.073035	500
43.118294	0.073253	499
43.118328	0.073475	498
43.118351	0.073697	497
43.118385	0.073912	496
43.118401	0.074133	495
43.118431	0.074362	494
43.118458	0.074597	494
43.118481	0.074832	494
43.118496	0.075078	493
43.118523	0.075317	492
43.118545	0.075562	491
43.118572	0.075808	491
43.118587	0.076062	490
43.11861	0.076308	489
43.118637	0.076543	489
43.118637	0.076768	488
43.118618	0.076995	488
43.11858	0.077223	487
43.118523	0.077427	487
43.118443	0.077617	487
43.118374	0.077797	487
43.11832	0.077967	487
43.118278	0.078137	487
43.118271	0.078302	488
43.118278	0.078455	488
43.118294	0.078602	489
43.11832	0.078742	490
43.118336	0.078873	491
43.118359	0.07899	492
43.118385	0.079095	493
43.118393	0.07919	494
43.118416	0.079275	494
43.118431	0.079352	495
43.118458	0.07943	496
43.118473	0.079507	496
43.118488	0.079587	497
43.118507	0.079662	498
43.11853	0.079738	498
43.118545	0.079818	499
43.118565	0.079902	500
43.11858	0.079982	500
43.118595	0.08006	500
43.11861	0.080138	500
43.118629	0.080212	501
43.118645	0.080287	501
43.118652	0.080362	502
43.11866	0.080437	502
43.118668	0.080522	502
43.118675	0.080603	503
43.118687	0.080682	503
43.118694	0.080758	504
43.118702	0.080827	504
43.118702	0.0809	505
43.118702	0.080975	505
43.118694	0.081058	506
43.118687	0.081157	506
43.118675	0.08125	506
43.118668	0.08134	506
43.118668	0.081432	507
43.11866	0.081522	507
43.11866	0.081612	508
43.118652	0.081708	508
43.118637	0.081808	509
43.118637	0.081897	509
43.118618	0.081993	510
43.11861	0.082092	510
43.118603	0.08218	511
43.118587	0.082273	512
43.118572	0.082363	512
43.118565	0.082452	512
43.118545	0.082537	512
43.11853	0.082623	513
43.118515	0.082707	513
43.118488	0.082795	514
43.118465	0.082883	514
43.118443	0.082965	514
43.118416	0.08305	515
43.118393	0.083133	515
43.118359	0.083217	516
43.118343	0.08331	516
43.11832	0.083403	516
43.118294	0.083493	517
43.118271	0.083587	517
43.118252	0.083677	518
43.118229	0.083762	518
43.118206	0.083852	518
43.118179	0.083945	518
43.118164	0.084042	518
43.118141	0.08413	519
43.118122	0.084217	519
43.118099	0.084313	520
43.118076	0.084408	520
43.11805	0.084493	520
43.118027	0.084572	521
43.118	0.084653	521
43.117977	0.084743	522
43.117962	0.084823	523
43.117943	0.08491	523
43.117928	0.084995	523
43.117912	0.085083	524
43.117905	0.085183	524
43.117897	0.085292	524
43.117886	0.085403	524
43.117878	0.085512	524
43.117878	0.085632	524
43.117897	0.085743	524
43.117912	0.085865	524
43.117954	0.085987	524
43.118019	0.086093	524
43.118099	0.086172	524
43.118198	0.086228	524
43.118301	0.086265	524
43.118408	0.086298	524
43.118507	0.086358	524
43.118587	0.086453	523
43.118637	0.086585	523
43.118668	0.086727	522
43.118694	0.086882	522
43.118702	0.087052	521
43.118694	0.087228	521
43.118675	0.087413	520
43.118637	0.087602	519
43.118595	0.087798	518
43.118553	0.088005	518
43.118496	0.08822	517
43.118458	0.088465	516
43.118416	0.088693	515
43.118366	0.088922	514
43.118328	0.08916	513
43.118278	0.089403	512
43.118221	0.089635	512
43.118164	0.089855	511
43.118122	0.09007	510
43.118076	0.090272	509
43.118034	0.090452	508
43.118	0.090608	507
43.117977	0.090753	506
43.117977	0.09089	506
43.117985	0.091015	506
43.118034	0.091095	505
43.118099	0.091165	504
43.118179	0.091225	504
43.118278	0.091247	503
43.118393	0.091203	502
43.118507	0.09112	501
43.118637	0.091028	501
43.118759	0.090992	500
43.118862	0.091	500
43.118961	0.091047	500
43.119026	0.091123	499
43.119053	0.09123	499
43.119041	0.091355	498
43.119019	0.091505	498
43.118969	0.091663	497
43.118896	0.091818	497
43.11874	0.09196	496
43.118618	0.092093	495
43.118496	0.092218	495
43.118351	0.092342	494
43.118206	0.092468	494
43.118042	0.092588	493
43.117878	0.0927	492
43.11771	0.092817	490
43.117546	0.092935	489
43.117374	0.093063	487
43.11721	0.093185	487
43.11705	0.09332	486
43.116901	0.093498	484
43.116772	0.093717	483
43.11665	0.093933	481
43.116543	0.094158	481
43.116455	0.094402	480
43.116383	0.094658	478
43.11631	0.094917	476
43.116245	0.095182	475
43.116177	0.095455	474
43.116123	0.095728	473
43.116081	0.096003	471
43.116055	0.096278	469
43.116032	0.096557	469
43.116024	0.096838	467
43.116016	0.097127	465
43.116009	0.097415	464
43.116016	0.097703	463
43.116016	0.097982	462
43.116016	0.098278	461
43.116024	0.09856	461
43.116024	0.098838	460
43.116032	0.099103	459
43.116039	0.099365	459
43.116047	0.099615	459
43.116055	0.099845	458
43.116055	0.100075	458
43.116055	0.1003	458
43.116066	0.100517	458
43.116074	0.10073	458
43.116074	0.10094	458
43.116089	0.101137	457
43.116112	0.101325	457
43.116161	0.101502	457
43.116234	0.10166	457
43.116333	0.101802	457
43.116447	0.101922	457
43.116562	0.102042	456
43.116676	0.10216	456
43.116798	0.102282	455
43.11692	0.1024	455
43.117031	0.102522	454
43.117138	0.102653	453
43.117245	0.102787	453
43.117325	0.10293	452
43.11739	0.103082	452
43.117439	0.103243	451
43.117474	0.10342	451
43.117496	0.103595	451
43.117519	0.10377	451
43.117554	0.10395	451
43.117577	0.10412	451
43.117603	0.104298	451
43.117626	0.10448	451
43.117641	0.10467	451
43.117653	0.10487	451
43.117653	0.105073	450
43.117653	0.105283	450
43.11766	0.105493	449
43.11766	0.105707	449
43.117668	0.105938	448
43.117668	0.106165	447
43.11766	0.1064	446
43.117653	0.106642	445
43.117619	0.10687	444
43.117569	0.10709	444
43.117512	0.107302	444
43.117439	0.107515	443
43.117374	0.107718	442
43.11731	0.107913	442
43.117252	0.108103	441
43.117195	0.108283	441
43.117138	0.108462	440
43.117081	0.108628	440
43.117023	0.108793	440
43.116966	0.10895	440
43.116928	0.109098	440
43.116886	0.109233	441
43.116836	0.109368	441
43.116787	0.109493	441
43.116756	0.109612	441
43.116714	0.109728	441
43.116684	0.109828	442
43.11665	0.109925	442
43.116627	0.110018	442
43.1166	0.110112	442
43.116592	0.110197	442
43.116577	0.110285	442
43.116535	0.110368	442
43.116478	0.11045	442
43.116405	0.110518	442
43.116325	0.110575	442
43.116234	0.110633	442
43.116138	0.110695	442
43.116032	0.110762	442
43.115925	0.11082	442
43.115822	0.11088	442
43.115707	0.110945	442
43.115608	0.111007	442
43.115513	0.111067	442
43.115414	0.111123	442
43.115307	0.11119	442
43.115211	0.111252	442
43.115112	0.111317	442
43.115013	0.111382	442
43.114918	0.111443	443
43.114819	0.111503	443
43.114731	0.111563	443
43.114632	0.111632	443
43.114536	0.111698	443
43.114437	0.111757	443
43.114346	0.11181	443
43.114258	0.111862	443
43.114178	0.11192	443
43.114086	0.111977	443
43.113998	0.112043	443
43.113899	0.112097	444
43.113811	0.112153	444
43.11372	0.112208	444
43.113632	0.112258	444
43.113541	0.11231	444
43.113453	0.112367	444
43.113354	0.112427	444
43.113258	0.112483	444
43.113167	0.112542	444
43.113079	0.112602	444
43.11298	0.112663	444
43.112892	0.112723	444
43.112793	0.112778	444
43.112694	0.112838	444
43.112598	0.1129	444
43.112499	0.112968	444
43.112404	0.113038	445
43.112297	0.113102	445
43.112198	0.113167	445
43.112095	0.113233	445
43.111996	0.113297	445
43.111889	0.113358	446
43.111794	0.113425	446
43.111687	0.113485	446
43.111587	0.113543	446
43.111484	0.113603	446
43.111385	0.113658	446
43.111286	0.113723	447
43.111198	0.113785	447
43.111099	0.113848	447
43.111011	0.113913	447
43.110912	0.11398	447
43.110817	0.114045	447
43.11071	0.114115	448
43.110611	0.114182	448
43.110516	0.114242	448
43.110416	0.114305	448
43.110329	0.114368	449
43.110229	0.11443	449
43.11013	0.114485	450
43.110043	0.114538	450
43.109951	0.114598	450
43.109856	0.114657	450
43.109764	0.114718	451
43.109669	0.114785	451
43.109577	0.114848	451
43.109489	0.114913	451
43.109398	0.11497	451
43.10931	0.11502	451
43.10923	0.115063	451
43.109146	0.115103	451
43.109066	0.115142	451
43.108994	0.115182	451
43.108921	0.115222	451
43.108845	0.115272	451
43.10878	0.115317	451
43.108715	0.115367	451
43.10865	0.115415	452
43.108578	0.115462	452
43.108498	0.115518	452
43.108406	0.115573	452
43.108326	0.115623	452
43.108227	0.115678	452
43.108131	0.115735	452
43.10804	0.11579	452
43.107944	0.11585	453
43.107853	0.115907	453
43.107754	0.115968	453
43.107658	0.116023	453
43.107567	0.11608	453
43.107471	0.11614	453
43.10738	0.116203	453
43.107292	0.116265	453
43.107193	0.11633	453
43.107105	0.116397	453
43.107006	0.11646	453
43.106899	0.116528	453
43.106804	0.116595	453
43.106712	0.11666	453
43.106617	0.116725	453
43.10651	0.116787	453
43.106411	0.116847	453
43.106308	0.116907	453
43.106201	0.116967	453
43.106094	0.11703	453
43.105991	0.1171	453
43.105885	0.117163	453
43.105785	0.117225	453
43.105698	0.117292	453
43.105598	0.117357	453
43.105503	0.117422	453
43.105404	0.117487	453
