iso_code	country	ghg	co2	methane	nitrous_oxide	population	gdp	energy_consumption	electricity_generation	renewable_energy	hydropower	wind	biomass	solar	geothermal	
NOR	Norway	24.262	44.895	5.09	3.182	5137244.4	422001752451	524.685	149630	145379	144005	2116	233	23.8	0	
OMN	Oman	71.382	60.6176	5.074	0.7	4007329.8	157994061444	318.2046	34210	3.7	0	0	0	3.7	0	
PAK	Pakistan	380.134	167.3682	136.06	55.124	195380849	987741494181	790.772	114003	37249	34366	786.3	1506	590.4	0	
PLW	Palau	0.182	0.2178	0.02	0	17649.2	-9999	-9999	-9999	1.7	0	0	0	1.7	0	
PAN	Panama	26.9	10.5138	5.29	1.394	3902591.2	71558933400	108.024	10886	7255	6522.5	625.2	30.9	76.5	0	
PNG	Papua_New_Guinea	79.714	5.8712	17.346	4.91	7949132.4	-9999	26.239	-9999	1289	876.6	0	11	1.3	400	
PRY	Paraguay	192.822	5.8074	32.99	11.202	6599586.2	55595161630	192.863	63771	63902	63770	0	132.1	0	0	
PER	Peru	163.696	49.665	30.808	9.534	30153584.6	338205447206	273.4076	51923	26030	24171.7	1063.8	493.5	301.1	0	
PHL	Philippines	128.352	103.953	65.62	12.782	100474870.4	713110664055	413.023	90797	22031	8833	975	777.5	1097	11070	
POL	Poland	345.076	319.4714	47.326	21.146	38099893	898617136568	1123.5024	163989	25378	1958	15107	7602	711	0	
PRT	Portugal	67.252	49.7742	11.57	3.21	10422288.6	254492340702	284.155	60280	32262	16909	12474	3071	822	172	
QAT	Qatar	87.26	88.8928	7.152	1.398	2442389.2	354968148256	509.7892	42307	123.2	0	0	114.8	8.4	0	
ROU	Romania	-54.866	76.948	25.422	8.346	20023527.4	355884562539	376.5246	65103	26969	18536	6590	531	1820	0.1	
RUS	Russia	2415.636	1632.7624	881.162	72.262	144648922.8	3476012230785	7955.2836	1090973	184172	185668	6	32	79.3	414	
RWA	Rwanda	6.486	0.8564	2.99	1.912	11096546	17713323904	4.4252	-9999	342.1	324.6	0	1.9	15.7	0	
KNA	Saint_Kitts_and_Nevis	0.35	0.2294	0.08	0.02	50763.6	-9999	1.0468	-9999	10.7	0	7.6	0	3.1	0	
LCA	Saint_Lucia	0.78	0.4858	0.264	0.03	178325	1650228400	1.8278	-9999	1.3	0	0	0	1.3	0	
VCT	Saint_Vincent_and_the_Grenadines	0.326	0.236	0.07	0.01	108905.8	-9999	1.0314	-9999	26.6	24.7	0	0	1.9	0	
WSM	Samoa	0.61	0.2096	0.294	0.056	192014.2	-9999	1.274	-9999	50	37.9	1.5	0	10.6	0	
STP	Sao_Tome_and_Principe	0.18	0.1202	0.028	0.02	195771.4	654754200	0.6224	-9999	6	5.9	0	0	0.1	0	
SAU	Saudi_Arabia	621.434	605.4248	40.652	5.52	30856937.2	1549422386322	2881.6344	344809	129.2	0	0	0	129.2	0	
SEN	Senegal	32.292	8.76	10.494	7.67	14186224.6	33570091304	30.8266	4457	461.4	359.4	0	15.1	86.9	0	
SRB	Serbia	61.052	42.8478	12.296	5.024	8897606.4	91849344028	184.8082	39342	10865	11520	26	35	12	0	
SYC	Seychelles	0.86	0.4632	0.09	0	94182.2	2231697600	4.274	-9999	9.9	0	7	0	2.9	0	
SLE	Sierra_Leone	14.282	0.9462	5.654	1.838	7018893.8	10125116200	4.6822	-9999	220.4	219.9	0	0	0.4	0	
SGP	Singapore	62.054	52.025	3.692	8.26	5518919.4	361431658271	891.3048	51667	824.3	0	0	671.7	152.6	0	
